,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of Movies,Votes,Gross
852,The Purple Rose of Cairo,1985,82,7.7,75,"48,006",$10.63M
853,After Hours,I 1985,97,7.7,90,"62,578",$10.60M
854,Zelig,1983,79,7.7,^^,"40,549",$11.80M
855,The Verdict,1982,129,7.7,77,"37,174",$54.00M
856,Star Trek II: The Wrath of Khan,1982,113,7.7,67,"114,831",$78.91M
857,First Blood,1982,93,7.7,61,"234,153",$47.21M
858,Ordinary People,1980,124,7.7,86,"48,456",$54.80M
859,Airplane!,1980,88,7.7,78,"220,809",$83.40M
860,Halloween,1978,91,7.7,87,"238,518",$47.00M
861,Le locataire,1976,126,7.7,71,"41,185",$1.92M
862,Love and Death,1975,85,7.7,89,"36,785",^^
863,The Taking of Pelham One Two Three,1974,104,7.7,68,"27,809",$2.49M
864,Blazing Saddles,1974,93,7.7,73,"129,119",$119.50M
865,Serpico,1973,130,7.7,87,"113,407",$29.80M
866,Enter the Dragon,1973,102,7.7,83,"99,107",$25.00M
867,Deliverance,1972,109,7.7,80,"101,519",$7.06M
868,The French Connection,1971,104,7.7,94,"113,647",$15.63M
869,Dirty Harry,1971,102,7.7,90,"146,825",$35.90M
870,The Odd Couple,1968,105,7.7,86,"32,494",$44.53M
871,The Dirty Dozen,1967,150,7.7,73,"68,589",$45.30M
872,Belle de jour,1967,100,7.7,^^,"41,499",$0.03M
873,A Man for All Seasons,1966,120,7.7,72,"32,350",$28.35M
874,Repulsion,1965,105,7.7,91,"50,043",^^
875,Zulu,1964,138,7.7,77,"36,947",^^
876,Goldfinger,1964,110,7.7,87,"177,514",$51.08M
877,The Birds,1963,119,7.7,90,"175,955",$11.40M
878,Cape Fear,1962,106,7.7,76,"27,110",^^
879,Peeping Tom,1960,101,7.7,^^,"32,469",$0.08M
880,The Magnificent Seven,1960,128,7.7,74,"89,619",$4.91M
881,Les yeux sans visage,1960,90,7.7,90,"28,652",$0.05M
882,Invasion of the Body Snatchers,1956,80,7.7,92,"45,986",^^
883,Rebel Without a Cause,1955,111,7.7,89,"85,448",^^
884,The Ladykillers,1955,91,7.7,91,"27,470",^^
885,Sabrina,1954,113,7.7,72,"60,936",^^
886,The Day the Earth Stood Still,1951,92,7.7,^^,"77,150",^^
887,Gilda,1946,110,7.7,^^,"28,866",^^
888,Fantasia,1940,125,7.7,96,"90,529",$76.41M
889,The 39 Steps,1935,86,7.7,93,"53,380",^^
890,The Invisible Man,1933,71,7.7,87,"31,601",^^
891,Dark Waters,2019,126,7.6,73,"69,547",^^
892,Searching,III 2018,102,7.6,71,"147,759",$26.02M
893,Once Upon a Time... in Hollywood,2019,161,7.6,83,"597,245",$142.50M
894,Nelyubov,2017,127,7.6,86,"31,001",$0.57M
895,The Florida Project,2017,111,7.6,92,"100,382",$5.90M
896,Just Mercy,2019,137,7.6,68,"52,960",^^
897,Gifted,2017,101,7.6,60,"104,991",$24.80M
898,The Peanut Butter Falcon,2019,97,7.6,70,"73,149",$13.12M
899,Victoria,II 2015,138,7.6,77,"54,944",^^
900,Guardians of the Galaxy Vol. 2,2017,136,7.6,67,"594,866",$389.81M
901,Baby Driver,2017,113,7.6,86,"464,413",$107.83M
902,Only the Brave,2017,134,7.6,72,"61,353",$18.34M
903,Bridge of Spies,2015,142,7.6,81,"294,640",$72.31M
904,Incredibles 2,2018,118,7.6,80,"262,137",$608.58M
905,Moana,I 2016,107,7.6,81,"288,008",$248.76M
906,Sicario,2015,121,7.6,82,"385,287",$46.89M
907,Creed,II 2015,133,7.6,82,"253,794",$109.77M
908,Leviafan,2014,140,7.6,92,"50,681",$1.09M
909,Hell or High Water,II 2016,102,7.6,88,"210,660",$26.86M
910,Philomena,2013,98,7.6,77,"95,876",$37.71M
911,El cuerpo,2012,112,7.6,^^,"60,418",^^
912,Serbuan maut,2011,101,7.6,73,"194,515",$4.11M
913,End of Watch,2012,109,7.6,68,"232,589",$41.00M
914,A Star Is Born,2018,136,7.6,88,"349,255",$215.29M
915,True Grit,2010,110,7.6,80,"319,052",$171.24M
916,Hævnen,2010,118,7.6,65,"38,971",$1.01M
917,Despicable Me,2010,95,7.6,72,"511,004",$251.51M
918,50/50,2011,100,7.6,72,"319,447",$35.01M
919,Kick-Ass,2010,117,7.6,66,"533,987",$48.07M
920,Celda 211,2009,113,7.6,^^,"65,018",^^
921,Moneyball,2011,133,7.6,87,"383,840",$75.61M
922,La piel que habito,2011,120,7.6,70,"142,913",$3.19M
923,Zombieland,2009,88,7.6,73,"533,468",$75.59M
924,Die Welle,2008,107,7.6,^^,"104,762",^^
925,Sherlock Holmes,2009,128,7.6,57,"595,363",$209.03M
926,The Blind Side,2009,129,7.6,53,"302,295",$255.96M
927,The Visitor,I 2007,104,7.6,79,"41,922",$9.42M
928,Seven Pounds,2008,123,7.6,36,"291,024",$69.95M
929,Eastern Promises,2007,100,7.6,82,"231,992",$17.11M
930,Stardust,2007,127,7.6,66,"259,891",$38.63M
931,The Secret of Kells,2009,71,7.6,81,"33,161",$0.69M
932,Inside Man,2006,129,7.6,76,"349,644",$88.51M
933,Gone Baby Gone,2007,114,7.6,72,"257,646",$20.30M
934,La Vie En Rose,2007,140,7.6,66,"83,962",$10.30M
935,Huo Yuan Jia,2006,104,7.6,70,"73,666",$24.63M
936,The Illusionist,2006,110,7.6,68,"359,319",$39.87M
937,Dead Man's Shoes,2004,90,7.6,52,"50,719",$0.01M
938,Harry Potter and the Half-Blood Prince,2009,153,7.6,78,"490,962",$301.96M
939,300,2006,117,7.6,52,"749,004",$210.61M
940,Match Point,2005,124,7.6,72,"209,345",$23.09M
941,Watchmen,2009,162,7.6,56,"519,502",$107.51M
942,Lord of War,2005,122,7.6,62,"299,237",$24.15M
943,Saw,2004,103,7.6,46,"390,415",$56.00M
944,Mysterious Skin,2004,105,7.6,73,"66,772",$0.70M
945,Un long dimanche de fiançailles,2004,133,7.6,76,"71,623",$6.17M
946,The Station Agent,2003,89,7.6,81,"68,121",$5.74M
947,21 Grams,2003,124,7.6,70,"227,455",$16.29M
948,Boksuneun naui geot,2002,129,7.6,56,"64,435",$0.05M
949,25th Hour,2002,135,7.6,68,"171,812",$13.06M
950,The Butterfly Effect,2004,113,7.6,30,"459,960",$57.94M
951,I Am Sam,2001,132,7.6,28,"145,117",$40.31M
952,Batoru rowaiaru,2000,114,7.6,81,"172,333",^^
953,The Royal Tenenbaums,2001,110,7.6,76,"272,922",$52.36M
954,Y tu mamá también,2001,106,7.6,88,"117,910",$13.62M
955,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,"683,485",$317.58M
956,The Others,2001,101,7.6,74,"345,616",$96.52M
957,Enemy at the Gates,2001,131,7.6,53,"248,457",$51.40M
958,Traffic,2000,147,7.6,86,"199,310",$124.12M
959,Minority Report,2002,145,7.6,80,"518,942",$132.07M
960,American Psycho,2000,101,7.6,64,"513,235",$15.07M
961,The Thin Red Line,1998,170,7.6,78,"176,689",$36.40M
962,Mulan,1998,88,7.6,71,"264,258",$120.62M
963,Fear and Loathing in Las Vegas,1998,118,7.6,41,"265,238",$10.68M
964,Dark City,1998,100,7.6,66,"191,197",$14.38M
965,Lost Highway,1997,134,7.6,52,"134,234",$3.80M
966,Die Hard: With a Vengeance,1995,128,7.6,58,"369,611",$100.01M
967,The Bridges of Madison County,1995,135,7.6,69,"75,422",$71.52M
968,Apollo 13,I 1995,140,7.6,77,"276,571",$173.84M
969,Trois couleurs: Blanc,1994,92,7.6,88,"66,884",$1.46M
970,Dazed and Confused,1993,102,7.6,78,"171,231",$7.99M
971,My Cousin Vinny,1992,120,7.6,68,"111,742",$52.93M
972,Kal Hee,1991,118,7.6,90,"28,678",$0.45M
973,Delicatessen,1991,99,7.6,66,"81,880",$1.79M
974,The Hunt for Red October,1990,135,7.6,58,"185,382",$122.01M
975,Home Alone,1990,103,7.6,63,"499,937",$285.76M
976,The Godfather: Part III,1990,162,7.6,60,"370,038",$66.67M
977,When Harry Met Sally...,1989,95,7.6,76,"201,299",$92.82M
978,The Naked Gun: From the Files of Police Squad!,1988,85,7.6,76,"157,554",$78.76M
979,Withnail & I,1987,107,7.6,84,"41,465",$1.54M
980,Lethal Weapon,1987,109,7.6,68,"242,327",$65.21M
981,Blood Simple,1984,99,7.6,83,"90,434",$2.15M
982,Mad Max 2,1981,96,7.6,77,"170,034",$12.47M
983,The Warriors,1979,92,7.6,65,"96,204",$22.49M
984,Rupan Sansei: Kariosutoro no Shiro,1979,100,7.6,71,"28,189",^^
985,The Muppet Movie,1979,95,7.6,74,"33,677",$76.66M
986,Escape from Alcatraz,1979,112,7.6,76,"125,057",$43.00M
987,Watership Down,1978,91,7.6,64,"34,505",^^
988,Close Encounters of the Third Kind,1977,138,7.6,90,"189,152",$132.09M
989,The Long Goodbye,1973,112,7.6,87,"27,544",$0.96M
990,Giù la testa,1971,157,7.6,77,"31,119",$0.70M
991,Kelly's Heroes,1970,144,7.6,50,"46,390",$1.38M
992,Where Eagles Dare,1968,158,7.6,63,"53,218",^^
993,The Jungle Book,1967,78,7.6,65,"170,052",$141.84M
994,A Hard Day's Night,1964,87,7.6,96,"41,169",$13.78M
995,Breakfast at Tiffany's,1961,115,7.6,76,"170,512",^^
996,Giant,1956,201,7.6,84,"35,020",^^
997,Shane,1953,118,7.6,80,"38,059",$20.00M
998,From Here to Eternity,1953,118,7.6,85,"44,353",$30.50M
999,Lifeboat,1944,97,7.6,78,"27,095",^^
