,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of Movies,Votes,Gross
137,Koe no katachi,2016,130,8.2,78,"57,694",^^
138,Talvar,2015,132,8.2,^^,"32,506",$0.34M
139,Baahubali 2: The Conclusion,2017,167,8.2,^^,"79,081",$20.19M
140,Klaus,2019,96,8.2,65,"115,145",^^
141,Masaan,2015,109,8.2,^^,"25,101",^^
142,Drishyam,2015,163,8.2,^^,"74,781",$0.74M
143,Queen,2013,146,8.2,^^,"62,025",$1.43M
144,Mandariinid,2013,87,8.2,73,"42,914",$0.14M
145,Bhaag Milkha Bhaag,2013,186,8.2,^^,"63,207",$1.63M
146,Gangs of Wasseypur,2012,321,8.2,89,"87,119",^^
147,Udaan,2010,134,8.2,^^,"43,325",$0.01M
148,Paan Singh Tomar,2012,135,8.2,^^,"34,324",$0.04M
149,Zindagi Na Milegi Dobara,2011,155,8.2,^^,"70,803",$3.11M
150,El secreto de sus ojos,2009,129,8.2,80,"198,128",$6.39M
151,Shutter Island,2010,138,8.2,63,"1,172,338",$128.01M
152,Up,2009,96,8.2,88,"960,685",$293.00M
153,Miracle in Cell No. 7,2019,132,8.2,^^,"40,545",^^
154,Article 15,2019,130,8.2,^^,"26,109",^^
155,The Wolf of Wall Street,2013,180,8.2,75,"1,236,918",$116.90M
156,Chak De! India,2007,153,8.2,68,"76,069",$1.11M
157,There Will Be Blood,2007,158,8.2,93,"534,489",$40.22M
158,Pan's Labyrinth,2006,118,8.2,98,"630,935",$37.63M
159,Toy Story 3,2010,103,8.2,92,"774,970",$415.00M
160,Black,2005,122,8.2,^^,"33,850",$0.73M
161,Batman Begins,2005,140,8.2,70,"1,340,979",$206.85M
162,"Swades: We, the People",2004,210,8.2,^^,"85,650",$1.22M
163,Der Untergang,2004,156,8.2,82,"337,692",$5.51M
164,Hauru no ugoku shiro,2004,119,8.2,80,"349,120",$4.71M
165,A Beautiful Mind,2001,135,8.2,72,"870,073",$170.74M
166,Hera Pheri,2000,156,8.2,^^,"59,934",^^
167,"Lock, Stock and Two Smoking Barrels",1998,107,8.2,66,"546,998",$3.90M
168,L.A. Confidential,1997,138,8.2,90,"543,602",$64.62M
169,Eskiya,1996,128,8.2,^^,"66,352",^^
170,Heat,1995,170,8.2,76,"594,830",$67.44M
171,Casino,1995,178,8.2,73,"479,743",$42.44M
172,Unforgiven,1992,130,8.2,85,"384,797",$101.16M
173,Indiana Jones and the Last Crusade,1989,127,8.2,65,"706,590",$197.17M
174,Dom za vesanje,1988,142,8.2,^^,"28,575",$0.28M
175,Tonari no Totoro,1988,86,8.2,86,"303,711",$1.11M
176,Die Hard,1988,132,8.2,72,"808,901",$83.01M
177,Ran,1985,162,8.2,96,"116,368",$4.14M
178,Raging Bull,1980,129,8.2,89,"329,311",$23.38M
179,Höstsonaten,1978,99,8.2,^^,"29,479",^^
180,The Message,1976,177,8.2,^^,"44,954",^^
181,Sholay,1975,204,8.2,^^,"52,701",^^
182,Monty Python and the Holy Grail,1975,91,8.2,91,"510,145",$1.23M
183,Chinatown,1974,130,8.2,92,"302,863",$8.49M
184,Per qualche dollaro in più,1965,132,8.2,74,"238,456",$15.00M
185,The Great Escape,1963,172,8.2,86,"229,996",$12.10M
186,Yojinbo,1961,110,8.2,^^,"114,442",^^
187,Judgment at Nuremberg,1961,179,8.2,60,"71,756",^^
188,Some Like It Hot,1959,121,8.2,98,"249,483",$25.00M
189,Smultronstället,1957,91,8.2,88,"99,502",^^
190,Det sjunde inseglet,1957,96,8.2,88,"170,388",^^
191,Dial M for Murder,1954,105,8.2,75,"162,959",$0.01M
192,Tôkyô monogatari,1953,136,8.2,^^,"55,602",^^
193,Rashomon,1950,88,8.2,98,"156,805",$0.10M
194,All About Eve,1950,138,8.2,98,"123,394",$0.01M
195,The Treasure of the Sierra Madre,1948,126,8.2,98,"117,010",$5.01M
196,To Be or Not to Be,1942,99,8.2,86,"32,121",^^
197,The Gold Rush,1925,95,8.2,^^,"103,964",$5.45M
198,Sherlock Jr.,1924,45,8.2,^^,"44,141",$0.98M
199,Portrait de la jeune fille en feu,2019,122,8.1,95,"73,183",$3.76M
200,Pink,III 2016,136,8.1,^^,"41,279",$1.24M
201,"Three Billboards Outside Ebbing, Missouri",2017,115,8.1,88,"454,864",$54.51M
